completion,prompt
A,"Back in 1996 I started the first-ever e-commerce blinds store. My kids were 6, 11 and 13. My wife, Naomi, died a few years later. Her passing triggered something in me I never thought I had. It was a wake-up call. I had a bigger calling than just being an entrepreneur.  Twenty-one years later, I sold Blindscom to Home Depot. What a journey it was.  It started with working out of a van, to a garage, to a musty rat-infested office with an alleyway entrance, to eventually building it to hundreds of millions in revenue and eventual sale. What I learned from these 21 years is something I will always cherish. I can only hope to pass it forward to anyone who wants to become a better leader. It came down to the “Four Es.” A set of guiding principles that helped me overcome any obstacle to my organization’s success: → Evolve Continuously → Experiment Without Fear of Failure → Express Yourself → Enjoy the Ride I’ll be writing more on this topic, but I wanted to say thank you to everyone who had a part in this journey. I hope I can give back 10x what was given to me. #values #leadership #family #givingback"
C,Honored to be named again as one of the Best Lawyers Ones to Watch alongside so many awesome attorneys at MVA!
A,"Straight to the point from Dr. Nelson. Getting vaccinated and taking steps to reduce transmission can save lives. If you had the power to save a life, would you? If you had the power to convince others to so the same, would you?"
C,"After an incredible journey through our acquisition by Pluralsight, today is my last day at A Cloud Guru. Meeting Sam Kroonenburg, Drew Firment, and Peter Sbarski at Serverlessconf Austin in 2017 changed my life. ACG was a tiny ""serverless startup"" then. Seeing the company achieve hypergrowth under the vision of leaders like Katie Bullard and Justin Talerico, while leveling up millions of new cloud gurus on Amazon Web Services (AWS), Microsoft Cloud, Google Cloud, and more, has been the ride of a lifetime. I will forever be grateful to have played a small part in building one of the great teams and communities in the history of cloud. I'll be back in a few days to share more about what's next for me. Sam and team, wishing you all the best in your new adventure with Pluralsight! #keepbeingawesome #cloud #gurus"
C,"As I finish up my internship as a Marketing Coordinator for Ragan McKinney Real Estate, I'm thankful for the opportunity to work on a team that aligns with many values as my own - hard-driven and determined, in addition to, delivering quality and providing a positive environment. Over the past few months, I have been able to design and manage multiple marketing platforms in addition to marketing homes in the Multiple Listing Services (MLS). Throughout my time, I have gained valuable skills such as customer knowledge, digital advertising and writing to further myself in my professional career. I'd like to thank Ragan McKinney and her team for giving me this great opportunity! #marketing #realestate #career #RMREteam #internship"
A,"Stay Curious ""Data Analytics for Business Professionals"" by John Johnson #dataanalytics, #businessintelligence #linkedinlearning"
A,"Explore how Mastercard harnesses the power of 90 billion transactions a year to empower Fortune 500s with faster, better business decisions based on big data analysis. Register for this webinar to hear from the team leading Mastercard Intelligence: https://lnkd.in/d3wrqk2Z #BigData #MastercardEmployee #dmvjobs #techjobs #softwaredeveloper #softwareengineers"
A,"The Bullish Board curates the best job openings for creators and those engaged in the worlds of finance, media, and content creation — including positions for recent college grads and industry experts alike. Updated regularly, our job board highlights the most exciting opportunities throughout the creator economy landscape. Built on Pallet by Keaton Inglis 🤝"
C,So proud of Kaysie Justice for placing during our Cyber & Intelligence Intern Presentation. I have loved watching you grow over the past few months and am so happy you are on my team!! Congratulations - you deserve it!!
S,"This is a great program run by fantastic people. If you’re a Columbia Business School alum who works at, or who has started, an early-stage company, it’s well worth your consideration and time."
S,"If you are passionate about a project, we want to hear from you. We have backed hundreds of companies and helped them create billions of dollars in value, believing that a strong team and an exciting idea will achieve tremendous success. We move quickly. Pareto values our time and yours. Tell us about your team and company (or idea) and we’ll get back to you within 48 hours. We act decisively. We will decide whether to move forward together after one meeting. If you are a good fit, we will fund you within a week. Period. We win together. Once you're part of the Pareto family, we’re committed to helping you win. We provide our partners ongoing support with strategy, fundraising, team building, and so much more. Apply for the Pareto Pre-Seed Program now! https://lnkd.in/es8iBPnC"
C,Hosted a dinner for YC S21 Brazilian founders!! Thanks Brex for sponsoring! 🇧🇷 #brazil #latam #ycombinator
A,For Days aims to change the way customers approach their wardrobes. Read more about it here: https://lnkd.in/g6HqJJ6Z
A,"Came across this whilst catching up on reading in the Economist. In 1988 ludmila ulitskaya wrote a screenplay about an epidemic as part of her application for a film-making course in Moscow. When she was rejected, she filed the script away; 32 years later covid-19 erupted and she dug it out again. “Just the Plague”, published last year in Russian and now translated into English by Polly Gannon, is based on the true story of a plague outbreak in Moscow in 1939, caused by a scientist accidentally infecting himself as he worked on a vaccine. Sounds all to familiar. Tinatin Japaridze"
A,"A Chinese gene company selling #prenatal tests around the world developed them in collaboration with the country's #military and is using them to collect #genetic #data from millions of #women for sweeping research on the traits of populations, a #Reuters review of scientific papers and company statements found. DNA data collected from prenatal tests on women outside China has been found to be also stored in China’s government-funded #gene #database, one of the world’s largest, the company confirmed. BGI, in which the Shenzhen city government and Beijing's largest state investment vehicle took stakes in 2014, runs that gene bank. #NATO has warned China's assertive behavior is a systemic challenge, and #Beijing has drawn sanctions for alleged human rights violations in Xinjiang and stepped up a national security crackdown in Hong Kong.   Being able to understand how physical characteristics relate to a gene – and thus figuring out what genes actually do – “really is the cutting edge of genomics,” said Puglisi, who worked on biosecurity issues in the U.S. government. “When you can combine large amounts of #genomic #data – including mothers and their unborn children – with their medical data and history, it is really powerful.” Reuters reviewed more than 100 documents, from research papers to marketing materials, to determine the scope of data being captured by BGI through its prenatal tests, how it is using this in its research and its military collaboration. Reuters also interviewed more than two dozen scientists and experts in genetic law, including researchers who worked with the company, as well as four women, in Poland, Spain and Thailand, who took the tests. The U.S. National Counterintelligence and Security Center ( #NCSC) told Reuters in response to this report that it had “serious concerns” over how genetic data is “collected, transmitted, stored and used” by China’s government and companies.  The NCSC, which issues public warnings on intelligence threats to the United States, has said China’s collection of healthcare data from America poses serious risks, not only to privacy, but also to U.S. economic and national security. It urged health institutions to carefully assess risks associated with sharing such data with Chinese companies, and for patients to be told about the “value and sensitivity” of their genetic information – and the risks associated with turning it over. Women taking the #NIFTY test outside China should be concerned about the privacy terms that allow data to be shared with Chinese national #security agencies, the center said. “Non-invasive #prenatal testing kits marketed by Chinese biotech firms serve an important medical function, but they can also provide another mechanism for the #People’sRepublicChina and Chinese biotech companies to collect genetic and genomic data from around the globe,” the center said."
A,"To be fair 🤣, I never said singing was one of my “skills.” Post Context: https://lnkd.in/gvTcnYg3. What You Don’t Know: when I’m not in hard-core, business mode, I’m quite silly. In fact, some of you might be shocked to learn that in high-school, my senior class voted for me and I won the “funniest” superlative. Lol, do you remember high-school year book SUPERLATIVES? Do schools still award superlatives? I ask because I graduated high school a VERY long time ago."
A,"Our goal as believers today is not to be or do what the culture around us dictates, but rather to understand it so that we can effectively serve wherever God places us. - Dr. Jolene Erlacher, Daniel Generation #Goals #Leadership #Culture #DanielGeneration #LeadingTomorrow"
A,"Lessons in sustaining their economy, their businesses, and keeping their community healthy during the pandemic: “with many other industries hurting in a state largely built on seasonal industries, closing salmon fishing season— which is estimated by a recent study to bring in $2 billion annually—would have resulted in a wide-reaching economic blow. Safety protocols were finally agreed on just weeks before the start of the season. Testing, travel regulations, quarantining, and masking were mandated, and the measures were put in place in all areas of the fishery. Processing plants operated strictly as closed campuses. Fishermen were quarantined on their boats in the boatyards. Once a crew was at sea, it stayed at sea; there was no returning to the docks or sending people into town. The port was closed to the public—as it continued to be this year. When a crew aboard a fishing vessel contracted COVID-19 in Dillingham, the boat was hauled into the boatyard and surrounded with yellow caution tape like a crime scene. With all the safety measures in place, it was just a matter of waiting. “We were waiting for the big burst to happen,” says Tilden. “But it didn’t happen."" #COVID #COMMUNITY National Geographic #fishing"
A,"If only I was 20 years younger, that would be the business for me. The fringe benefit would be eating all the shrimp that I can.🤗🤗🤗🥳🥳🥳"
C,"The BMS hematology franchise is growing! I’m very excited to post for this N. Michigan consultant role. If you are clinically minded, others-oriented, and sales driven, this might be the position for you!"
A,Today is National Honey Bee Awareness Day and we are very thankful for these little pollinators! This day was first established in 2009 for beekeepers as a way to promote honey and encourage educational programs. We also can’t forget how important they are for farmers and their crops. #agricultureandfarming #agribusiness #agriculture #farmers #farming #farms #transitionplanning #successionplanning #ontag #ckont #agriculture #ontag #cdnag #farmlife #aginvesting #realassets #investinfarmland #nationalhoneybeeawarenessday
A,Who’s delivering on their promises to accelerate global access to vaccines? 🔍 📊 Explore the latest data from the #COVID19 Task Force: https://lnkd.in/dtGd3pSQ
C,"We have some big news! We just raised $15M from the brilliant team at Insight Partners to empower non-designers around the world! 🎉 Mariano Suarez-Battan CEO of MURAL, and current investors byFounders, LDV Capital, and AV8 Ventures also participates in this financing. Very excited to be working with Nikhil Sachdev Jeffrey Lieberman Eugenia Bejar Michael Shephard and the rest of the Insight team. And we are hiring (remotely)! 💻 Massive thanks to the amazing Uizard team and our incredible Uizard community 🙏 You're all awesome ♥️ #design #designforall #interfacedesign #userexperiencedesign #ai #machinelearning #startup #venturecapital"
C,"(This is my first post on LinkedIn - Although I’m not super active on social media, I wanted to celebrate one of the big milestones of my life and spread some positive energy 🙌🏻) Today marks my last day as an HRLDP intern at AWS. These past 12 weeks have been an amazing journey where I’ve grown tremendously as an HR professional and individual. I am grateful for the opportunity to lead an impactful work for Enterprise Support business - HR at Amazon drives true business impact! I loved being immersed in the business and working with our Technical Account Managers and leaders to see how they contribute to customer success. I have to thank a number of individuals who have helped me during my journey. I was always inspired to be surrounded by such humble, value-driven, passionate, and intelligent people. Huge thank you to ES HR Team, Bethany Wampler and Alisha P. for constantly checking up on me and providing me with any resource I needed, James Santa Maria for providing me an overwhelming amount of guidance this summer. I had the honor of having Neida Doctolero as my manager. I want to thank Neida for being so invested in my growth and success this summer; You helped me to complete some of my best work this summer. I also want to thank Kelly Schaefer who welcomed me to the team with open arms and made herself available to ensure I had a great experience. I couldn’t have asked to be a part of a more supportive team. Big shout out to our HRLDP community, Brianna Le for always encouraging me not to give up, and Royce Lee for finding the team best suited for my growth and being receptive to our feedback to ensure all of the interns are having a great experience. Last but not least, my AWeSome HRLDP intern cohort (McKenna Vanderbeek Alexandra (Allie) Peris Silvia Zamora Sherryce B. Jessica Moore) This summer wouldn't have been as amazing without each one of you by my side! I am really looking forward to go back to Cornell with all of the valuable skills I’ve developed over the summer. I am so excited to see what the future has in store for me as I finish off my last year in grad school 😊 #aws #awshrldp #awsintern"
A,"Are your Serverless customers happy or sad? 🤔 Fun example of using AWS Comprehend to understand the sentiment of your customers comments, whilst also redacting PII, with visuals and accompanying code repo written in TypeScript and the #Serverless Framework 🚀 #aws #awscommunitybuilders #awscommunity"
C,Some glimpses of our Sustainable Impact Investing event. Thank you so much for attending. Special thank you to our amazing speaker Mr. Peter A. Fanconi and BlueOrchard Finance Ltd and China Europe International Business School (CEIBS) for an amazing partnership.
A,"You've missed the launch of the Davos Lab: Youth Recovery Plan? No worries, I've got your back. Below you can watch Professor Klaus Schwab, Abdullahi Alim, Natalie Pierce and myself launch the Youth Recovery Plan. You read the full report here : wef.ch/youth-recovery-plan You can read my Op-Ed on the Millennial Manifesto here: https://lnkd.in/dm3wMivE #DavosLab #MillennialManifesto"
C,"Bit of personal news, as they say. Found out this week that I’ll be joining this year’s Stanford University Graduate School of Business Ignite – Post-9/11 Veterans cohort. Thankful to George Hoyem and others who supported my application. Look forward to leveraging what I learn towards supporting our incredible portfolio companies at In-Q-Tel."
A,#love #success #life #leadership
A,These are amazing people making incredible impact. Tune in. Show support. Stand up to cancer!!
S,"The impressive team at the Do Good Institute is looking for a dynamic communications professional to join them. Tell Mr. Robert T. Grimm, Jr. Baldy sent you."
C,Great conversation with Karen Roby about #dataprivacy and recent trends for #businesses. Thanks for having me TechRepublic!
A,A must read IMO. Be sure to read the comments too! https://lnkd.in/gsd2Ewwm #ai #data #datascience #artificialintelligence #statistics
C,"So happy an honored that #greencitymakers has called the attention of the press, again. Thank you Catarina Reis for such a great article, - in Portuguese."
C,"Back to school during the pandemic! What a thrilling first week of school at University of Virginia Darden School of Business! I am humbled by my classmates, impressed by the faculty, and grateful for all the hard work that Brett Twitty and the staff do to make this both a challenging and exciting MBA experience."
C,"THANK YOU to all Pelotonia donors for your generosity. This year was a particularly emotional one for me. My son joined me for his first year riding, age 14, alongside his buddy- the YOUNGEST RIDING SURVIVOR. We didnt train much, but the adrenaline of knowing what you are riding for- a CURE for #cancer - make it all worth the ride!!! This group of buddies, all aged 14, were the perfect reminder of how we support eachother during difficult times. How we play as a team. How we cross the finish line together. Ultimately, when life knocks you down, NEVER QUIT. I have been riding in Pelotonia for 10 years. Unfortunately- I have 2 friends who have lost loved ones to cancer since my ride on 8.7.21, just a few days ago!!! NOBODY should be dying. NOBODY should be diagnosed. I will ride until there is a cure. Pelotonia- 100% of the donations go towards finding a cure! Pelotonia.Org What really matters. #fundraising #giveback #donate #teameffort"
A,Agree 💯
A,"If 1 in 10 households in the US used the PowerX Suite, we would save more #CO2 than what Yosemite National Park sequesters every year. #carbonfootprint #energyefficiency #smarthome"
C,"I was delighted to receive a care package from the Coding it Forward fellowship, thanking me for mentoring and advising our country's next generation of civic technologists. The gesture is highly appreciated though wholly unnecessary since helping the fellows out was my pleasure and privilege. It is ironic that the fellows asked me for career advice, since the truth is that I wouldn't even be a competitive applicant for an internship as prestigious as Coding it Forward when I was in college. As fellows, these students have earned the privilege of being deliberate and thoughtful about their career path in ways that I never was, and I felt they deserved to know that. I highlighted my career trajectory so that they could avoid my mistakes and propel themselves only towards the success they deserve. Most of all, I wanted them to know that the pursuit of good, honest work that you can be proud of is always worth it. I'm honored to have played a small part in this summer cohort's story, and I look forward to seeing what they accomplish next."
S,"I am hiring a Senior Data Engineer/Tech Lead (10+ years experience) on Machine Learning track (https://lnkd.in/gRcCCPpn) in Bay Area!  If you have passion in both Machine Learning and Data Engineering, this is the right role for you. Messenger Relevance served billions of users with ML solutions and ML Infra to empower fun features across family messaging apps, such as the “Active Now” tray, Search functions and Forwarding suggested list. We hold Privacy as its core and co-leading industry wide Privacy-Preserving ML. People management experience is a great plus! If you had interest in this role, feel free to contact our recruiting team (Leobrian@FB.com) directly!"
A,"Catching up… Past week Clearlake Capital Group completed a couple of previously announced investments and a couple of add-ons: - We completed a strategic equity investment in RSA Security. RSA is a global provider of mission critical #cybersecurity software and governance risk and compliance management software solutions to enterprises, including 90% of Fortune 100 organizations. With this investment, Clearlake becomes an equal partner with Symphony Technology Group which initially acquired the business in 2020 alongside Ontario Teachers'​ Pension Plan from Dell Technologies. https://lnkd.in/gCM59k5a - We also completed an investment in BeyondTrust, a worldwide leader in privileged access management (PAM). Recently recognized as a Leader in the 2021 Gartner Magic Quadrant for Privileged Access Management for the third year in a row, BeyondTrust offers a seamless approach to preventing data breaches related to stolen credentials, misused privileges and compromised remote access. The company currently serves more than 20,000 customers, including 70% of the Fortune 500. Clearlake joins existing investor Francisco Partners. https://lnkd.in/gSgDFF2u - symplr, global leader in enterprise healthcare operations including governance, risk management, and compliance (“GRC”) #saas solutions, backed by Clearlake and Charlesbank Capital Partners announced the acquisition of SpinFusion. SpinFusion, a healthcare scheduling software provider with a focus on physician scheduling, will join symplr’s growing portfolio of workforce management offerings that enable healthcare organizations to better optimize staff. The acquisition of SpinFusion represents symplr’s thirteenth acquisition in the past six years, and its eighth under sponsorship from Clearlake since November 2018. https://lnkd.in/gBzc-pgB - and finally, Newfold Digital, a leading web technology provider backed by Clearlake and Siris Capital Group acquired Yoast, the leading search engine optimization (SEO) plugin provider for WordPress. The acquisition is a part of Newfold Digital’s long-term strategy to connect Newfold Digital customers with world-class web presence tools and services to empower online success in a digital world. https://lnkd.in/gJNqvdz6 #privateequity #security #seo #wordpress #financeandeconomy #digital #strategy #middlemarket #compliance #healthcare #technology #itmanagement #investments #data"
S,"We have an exciting opportunity to join our dynamic team at Dhaka, Bangladesh. Mail your CVs to sguharoy@in.imshealth.com for further detail Urmi Chakraborty Suresh Kumar MP Narayanan KM Muralidhara Nanjappagowda Rashmi Salunke Ullas Ks Sampath kumar Jannatan Naima #iqvia #braveminds #dhaka #recruitment #hiring #bdjobs #careers #recruiting #fullstack #opportunity"
A,"We are fortunate to have a great panel lined up for tonight's final installment in our Hack the Airport Series - Securing Flight: The partnership between product security, OT, and IT. Moderated by Megan Samford - VP, Chief Product Security Officer - Energy Management at Schneider Electric Becky Selzer - Aviation Product Cybersecurity and OT/ICS Security at United Airlines  Michael Simmons - Chief Information Security Officer (CISO) at Southwest Airlines Carrie M. - Senior Manager, Cybersecurity at Southwest Airlines Dr. Ron Martin, CPP - Professor of Practice: Critical Infrastructure, Industrial Control System Security, and Access and Identity Management Register here: https://lnkd.in/dgBTspna Capitol Technology University MISI WiCyS-Critical Infrastructure #cybersecurity #otsecurity #cyberresilience #criticalinfrastructure #wicys"
C,"I'm looking forward to support the Orange Digital Centers and join Olaf J Groth, PhD and Dan Zehr for the second time to deliver this course on AI in business - with focus on Africa! I am always blown away by the energy and enthusiasm of the entrepreneurs who attend the courses, and proud to be contributing to the continent's positioning in the global AI landscape!"
C,"Today is my last day at Viamo . I'm so proud to have contributed to Viamo's impact in increasing access to critical information for people around the world, especially in such complex and volatile times, and excited to see where Viamo goes next. Thank you to my incredible design chapter colleagues Amy Stuart, Amen Salami, Nele Groosman, Godspower Ehioze, Angie Vella, Sandra Gubler, and William Sullivan, to our fearless Design Director Bartholomew Sullivan, and to everyone else across Viamo and externally I've had the privilege of collaborating with on this journey. While leaving Viamo is bittersweet, I'm excited to be joining the team at Nava as a designer/researcher. After nearly a decade focusing on technology for international development, I can't wait to dive into the world of civic technology, helping to ensure that government services in the U.S. are simple, effective, and accessible to all."
C,Yay for in person #customersuccess events! Thank you Josh Schachter UpdateAI for getting these like-minded social beings together!
C,WOOM featured by Vogue Business as one of 7 female led startups to follow. Clelia Morales Siete 'startups' lideradas por grandes mujeres que están triunfando - Vogue Business -
A,"What’s the difference between WORRY, STRESS, & ANXIETY? And how can YOU better CONTROL the effects of each? 1. WORRY: “Worry happens in our minds and tends to be repetitive, obsessive.”  - Melanie Greenberg, author of the The Stress-Proof Brain” Worrying can calm our brains down and help us to problem-solve, but take these 3 steps to limit it: (a) Give yourself a worry “budget” (b) Push yourself to come up with a next step (c) Write your worries down  2. STRESS: ”Stress is a reaction to environmental changes or forces that exceed the individual’s resources.” - Dr. Greenberg   Here are 3 things to limit it:  (a) Go exercise!  (b) Get clear on what you can actually CONTROL (c) Don’t compare your stress with others 3. ANXIETY: If stress and worry are the symptoms, anxiety is the culmination. We experience anxiety in both our mind and our body. 3 things to help your anxiety: (a) Limit your sugar, alcohol and caffeine intake (b) Refocus in your body, center your breath, check in with your toes. Break the loop. (c) You can't think your way out of anxiety attack. Distract yourself with your senses: bite into a lemon, listen to music, jump rope, etc.  What am I missing? Help me add to and improve on this discussion. Share resources you have found below in the comments! Follow #nickatnoon for more convos like this. 18 months into this pandemic we all need to support each other on this journey, particularly on the #mentalhealth front. #anxiety #stress #wellness"
S,Join us!!
C,#Appointment: Kavi Vyas has 15 years of experience in medtech and most recently served as VP Marketing at Viz.ai. theator
A,🙏🙏 to our friends at Oracle Cloud!
A,"How Drones Aid Firefighting? Fly over buildings and obstacles, and see-through smoke with thermal cameras to help prioritize targets Stream live video intelligence back to command centers to align teams and eliminate the uncertainty. Leverage high-resolution cameras to remotely monitor remaining threats and document damage for future analysis. A drone swarm using a relocatable servicing platform could be instantly deployed enabling a quick response and used both during the day and at night, in all visibility conditions, without the requirement of a nearby available water basin. Consider that in most countries, for safety reasons, firefighting aircraft can only fly during the day and are able to perform a limited number of water drops per hour due to the distance from a water refueling site. Is this the future of fire fighting? #innovation #artificialintelligence #drones"
C,I did it LinkedIn peeps. I paid off my $85k in student loans!!
C,I am very excited to announce that Honeycomb Credit has been selected to compete in this year’s #Money2020 MoneyPitch competition! I can’t wait to get into the ring alongside some other inspiring fintech leaders! https://lnkd.in/gSEaSxB7
A,Our mission at DocSpace is simple: Help all clinicians build and launch independent practices for their communities. Let’s build! 🐶
C,"I spoke with John Williams in The New York Times for their Five Questions about Your Book section. Thanks very much for the great interview and if you buy the book this week and don't live in the DC area, DM me and you can send it to me so I can sign if you pay shipping."
A,this is cool and we are happy to support!
A,"I had a fan girl moment while attended one of the #hpair2021 sessions featuring Ponsi Trivisvavet, CEO of Inari, rising Ag-Tech company based in US. Her take on how to help low-income farmers touch my heart a lot. It would require: - the helps from players from the whole supply chain - 10,000 entrepreneurs to help 100 million farmers - people to change perspective when looking at innovation as expensive. Innovation should be cheap and accessible I also appreciate one of her answer to the topic of being women entrepreneur. She emphasized that to her the problem is #selfdoubt. I strongly agree with this. Its not how people look at you, its how you believe in what you can do that is the limit. Hope everyone has a great day so far :-) #innovation #entrepreneur #selfconfidence"
C,Very grateful for the opportunity to represent No-Touch Robotics at this great event! #robotics #entrepreneurship
C,"“I am thrilled to announce that Ethos VetHealth will be joining the NVA family! This agreement unites two leading veterinary care organizations, combining emergency, specialty and primary care veterinary expertise to accelerate our collective industry leadership position. We are thrilled to continue enhancing our premium services for all of our clients. With multiple levers of growth to drive future outperformance, under the NVA umbrella we will propel our exciting growth initiatives and further our commitment to science. Both organizations could not be more excited for this combination.”"
C,"Soumeya B. and I are equal parts excited and thankful to be hosting Navrina Singh, CEO of Credo AI at our next Clubhouse chat on Monday, 30th. I met Navrina Singh through Swati Kaul (one of my first managers and an incredible leader at Microsoft) and in the little time I have known her, she has encouraged me to dream, experiment, and grow. We will be discussing her career journey and how she stood up a company during pandemic amongst other topics. Lots to learn for entrepreneurs, leaders and AI lovers. Join us."
C,"The Coach Sommers Award is presented with Brian Sommers' namesake. Brian was DoorDash's first PL, ML, Sales Manager, National Sales Rep, Sales Trainer and has distinctly contributed to our team's culture. The award is presented quarterly to a team member who has demonstrated DoorDash's core values though their performance and has contributed beyond what is asked of them. This is the most prestigious award to receive in the sales org. I feel extremely honored and proud to have been chosen as the recipient of this award in Q2. I feel very fortunate to work for a company with amazing leaders who truly care for the growth and success in your career. 🚀 Andrea Fontecilla Joel Darner Karlie Ketchum Scott Butler #sales #career #doordash"
A,"Back to school is our favorite time for PERIOD PARTIES.® FACT: 25% of menstruators between the ages of 13 - 19, have missed class because they didn’t have access to tampons or pads. (2021 State of the Period report) Hosting a PERIOD PARTY® with Aunt Flow is an easy way to make a REAL impact. 1. Gather your period pals 2. Reach out to Aunt Flow (hello@goauntflow.com) for some help 3. Invest in these zipper pouches + period products ($5 to support a menstruator) 4. Pack the pouches and distribute to students on first days of school or to non-profits in need People helping people. PERIOD® #backtoschool #impact #donate #backtowork"
C,I am so privileged and honored to work with Kristin Slawinski and Sarah Arnio as we co-lead the Walmart Career Mom group and do things like THIS!! Donna Morris sharing the stage! Wait WHA?! She was so incredibly authentic and supportive of our mamas and caregivers….and also clear about what our leaders should be doing to make sure we can accomplish our goals of work life integration. Thank you ALL and also to the participants who took the time to invest in themselves this afternoon. That is called SELF CARE! What a perfect way to end the week. ❤️ #rockstarcareermom
A,We have come so far in the world of blockchain and cryptocurrency. An older article about .... #Khurramshroff #cryptocurrency #arabwhale #bitcoin #bitcoinmining #blockchain #crypto #ethereum #cryptotrading #btc #cryptocurrencies
C,"I am delighted to share that I have received Institute's Silver Medal from Prof. Geoffrey Hinton for the highest CPI in MTech, Department of Electrical Engineering, on the 59th Convocation of IIT Bombay. I want to thank Prof. Virendra Singh for his continuous encouragement and support throughout my journey, our esteemed faculty, non-teaching staff, and fellow research team members for their guidance. A big shout out to my great friends, batchmates, whom I have always looked up to, and this journey would have been incomplete without them. I will miss CADSL members, Hostel 10 and 15, my second home for these three years. Thank you, Indian Institute of Technology, Bombay, for precious memories. Signing off, 18307R030 #iitbombay #convocation2021 #electricalengineering #mtech"
S,We're looking for an experienced policy advisor in the field of economic development to join our growing team at Eurocities. Apply by September 15 - full details here ⬇ #jobadvert
S,"Sharing another interesting role with the team! Check out this job at Amazon Web Services (AWS): Executive Engagement Lead, AWS APJ"
C,It’s hard to find the words to sum up this unforgettable experience. Thankfully Michael Babineau found them 😊
A,Happy belated #nationalaviationday! I heard this is a rite of passage for new hires...
C,"I'm thrilled to share a piece I wrote in collaboration with Bob Nugman, ML Engineer at DoorDash, about the importance of implementing reliability engineering for ML initiatives! Machine learning is quickly becoming a key ingredient in emerging products and technologies. This has caused the field to rapidly mature as it attempts to transform the process of building ML models from an art to an engineering practice. Yet, there is still a disconnect between research and production environments to ensure a reliable experience for customers and engineers alike. This piece outlines three pillars of reliability: observability, management of change, and incidence response to create a systematic reliability program. Learn how to discover the root cause of production issues, come up with a solution, and enable ML reliability in your production products: https://bit.ly/2Waz87C #MLObservability #MLMonitoring #MLOps #xAI #ModelMonitoring #ModelObservability"
C,"I’m very excited and delighted to welcome Rahimin Aziz and Jalil Rasheed to the Board of NWCA Malaysia. As board members and advisors, I value their tremendous knowledge and skill sets in their respective areas of expertise. New World Group and NWCA Malaysia continues to build deep principal relationships with business owners around the world. I look forward to working closely with Jalil and our partner Berjaya Group to advise and assist in Berjaya’s 3-year strategic plan. Rahimin’s extensive multi-sector global investment experience will be an invaluable advisor resource for NWCA Malaysia to draw upon as we pursue tremendous opportunities in South East Asia and beyond for cross border M&A and investment opportunities supported by our institutional, sovereign and family office relationships."
S,"Great opportunity to join Walmart International Data Analytics and Insights team!! If you or someone you know is interested, please let me know."
S,"We are still receiving applications for a Managing Director for DC-MUSE (www.dc-muse.org), the Center for Decarbonizing Chemical Manufacturing Using Sustainable Electrification. If you are passionate about decarbonization and want to help build bridges between research groups and industry to decarbonize chemical manufacturing, apply here: https://lnkd.in/gSmPK594 #nyu #manufacturing #engineering #sustainability"
A,"How is #fintech leveling-up in Kenya? This week, Brett King Breaking Banks Fintech Podcast sits down with our founders Eddie Ndichu (万 - Wan) & Paul (Mwaura) Ndichu to discuss Global, Cross Border and Trade #Payments and exploring the fintech ecosystem and #VentureCapital in Africa and #Kenya Have a listen https://bit.ly/3mkNooX"
C,Deeply honored to be selected for the Delaware History Makers award!! #historymakers #medicine #blackdoctors #Delawarehistoricalsociety
A,@emyrivili is Athens' Chief Heat Officer. Her aim? To make cooling solutions available to residents struggling with extreme weather conditions of up to 43 degrees. #HeatWave2021 #ClimateChange
S,Come join my team or send your friends my way. Curai is building an AI-powered virtual primary care clinic. We're growing our engineering team (currently 60% women!). You can apply with my referral links below Sr Data Engineer https://lnkd.in/gjjfFZhp Engineering Tech Lead https://lnkd.in/gWfdGehx Sr Full Stack Engineer https://lnkd.in/ghaWrNaS Sr Front End Engineer https://lnkd.in/gxsYFxTP
A,COVID-19 emergency cash transfers are #ChangingLives in #SierraLeone. Learn how: http://wrld.bg/zuWS50FUk6g
C,"ISPO.com x IAA MOBILITY We're 'Official Sports & Urban Mobility Media Partner' of IAA MOBILITY and excited to explore and cover what's new and hot. It'll be about #Bikes, #commute, #sustainability and much much more. We're looking for what's close and interesting through the lens of sports. You have something to showcase in front of an influencing unique international readership? Get in touch with us: https://lnkd.in/dhSt6ncK #ISPO #acceleratingsports #IAA #whatwillmoveusnext"
A,"I continue to think about how I wish my mom were here to see moments like today where D Magazine has graciously placed me and our mission at Kanarys™ on their September cover. I think of my mother as a woman who shaped DFW and I wouldn’t be here without her. She taught me many valuable lessons about advocating for others and inspired me to chase my dreams. My mom had a degree in social work, and worked in counseling for many years before joining the US Postal Service. She managed to work full-time while raising myself and my brothers, and took in two other children whose parents were unable to care for them. She always thought of others and how she could help shape their lives in a positive way. She has been gone now for 49 days. I will treasure this cover announcement as a reminder of her impact and sacrifice, and by the women all across this city. Congrats to the 78 women featured and to all the mothers raising daughters to believe that they too can change the world for the better."
A,"The schedule for the first #OpenSource Program Office Conference in Europe, #OSPOCon Europe, is now live https://lnkd.in/deg-4EQV"
S,Benjamin Pettigrew surprised me today by inviting all of his classmates to help him fund a Sprouts Chef-in-Training intern. He's now offering to match YOUR donation. With your help he will sponsor a female chef just like Fayth - who just earned her Chef Certificate! Would mean a lot to have your support. You can send your donation to our venmo @sproutscc.
S,URGENT: See below request for financial pledges. Lives are on the line right now! Please share. #Afghanistan #Kabul #airlift #crisis #safety #allies #uscitizens
